product_id,product_name,category,price
1,Vegetable Broth,Snacks,2.29
2,Car Phone Mount,Household,15.99
3,Portable Camping Shower,Snacks,39.99
4,Smart Air Purifier,Beverages,199.99
5,Chocolate Mint Cookies,Beverages,2.29
6,Rice Pudding,Beverages,2.29
7,Sunflower Seeds,Beverages,2.99
8,Garlic Breadsticks,Personal Care,3.49
9,Digital Thermostat,Beverages,59.99
10,Basketball,Personal Care,29.99
11,Ski Goggles,Snacks,49.99
12,Cabbage Slaw Mix,Personal Care,2.29
13,Digital Voice Recorder,Household,49.99
14,Tabletop Fire Pit,Beverages,79.99
15,Organic Tomato Ketchup,Personal Care,3.49
16,Knitted Infinity Scarf,Beverages,29.99
17,Sporty Cap,Snacks,15.99
18,Classic Minestrone Soup,Household,2.99
19,Stainless Steel Grater,Snacks,14.99
20,Garlic Parmesan Roasted Potatoes,Snacks,3.99
21,Electric Nail File Kit,Snacks,34.99
22,Smartwatch,Snacks,199.99
23,Caramel Apple Chips,Beverages,3.49
24,Classic Minestrone Soup,Beverages,2.99
25,Wireless Charging Pad,Household,19.99
26,Cocktail Shaker Set,Beverages,29.99
27,Almond Joy Protein Bars,Personal Care,1.99
28,Digital Meat Thermometer,Personal Care,24.99
29,Classic Beef Chili,Household,7.99
30,Vegan Alfredo Sauce,Snacks,4.99
31,Beef Taco Skillet,Personal Care,8.49
32,Tofu,Beverages,2.49
33,Dog Walking Waist Pack,Household,19.99
34,Puzzle Game Set,Snacks,34.99
35,Laptop Stand,Household,29.99
36,Baking Soda,Beverages,0.99
37,Butternut Squash Ravioli,Beverages,6.29
38,Roasted Garlic Butter,Beverages,3.29
39,Outdoor Mosquito Repellent Lantern,Household,34.99
40,Non-Toxic Crayons for Kids,Snacks,10.99
41,Chickpeas,Snacks,1.29
42,Red Lentil Pasta,Snacks,3.99
43,Indoor Grill,Personal Care,59.99
44,Vegetarian Sausage Links,Snacks,5.89
45,Kids' Science Experiment Kit,Beverages,29.99
46,Coffee Grinder,Snacks,39.99
47,Miso Soup Mix,Beverages,3.29
48,Backpacking Tent,Beverages,109.99
49,Pasta Maker,Beverages,39
50,Bluetooth Tracker,Household,19.99
